phy1;1aae50d168cf;sta;add;f8:16:54:6a:13:69;6c;3c;ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phy1;1aaf3b47eab4;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf3dc9bdf7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf4058ff55;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf42ebeb9d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf45898658;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf4822cb59;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf4aa9df82;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf4d390db4;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf4fb8ffe5;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf524c4129;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf54da5e63;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf576bc206;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf5a3e3717;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf5cc615f5;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf5f4e523a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf61d44c8d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf647a4d21;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf6735952d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf69c4a044;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf6c55e53f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf6ed6c00b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf7167cfc9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf74075e70;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf76883172;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf79186435;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf7ba8c537;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf7e4959ef;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf80c0c5c3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
